run,hr,min,sec,AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,tM1,tM2,vM1,vM2,pInf,nu,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,B1_zeroed,B2_zeroed,B3_zeroed,B4_zeroed,B5_zeroed,B6_zeroed,B1_zero,B2_zero,B3_zero,B4_zero,B5_zero,B6_zero,config,source_file,rudder_deg,V_round,AoA_round,AoS_round,J,J_round,CD_modeloff,CY_modeloff,CL_modeloff,CMroll_modeloff,CMpitch_modeloff,CMyaw_modeloff,modeloff_correction_found,CD_uncorrected,CY_uncorrected,CL_uncorrected,CMroll_uncorrected,CMpitch_uncorrected,CMyaw_uncorrected,CMpitch25c_uncorrected
28.0,8.0,10.0,41.0,2.496,-9.995,104.26,101189.0,289.29,330.2,896.7,533.5,-88.4,83.8,-457.2,0.0,1.2185471305276716,243.22698967108667,19.98019463460076,223798.9645853479,49.21,49.21,0.59,0.58,0.0,19.603,19.399,45.032,44.352,101189.0,1.4728956569678325e-05,1.9981249644581995,1.9981249644581995,2.6138409208311546,8.520802655369632,29.33895051356545,-1.0460446418331577,-1.9136533810016108,2.840559422068558,0.0494843840843911,0.1613130577095466,0.5554354453156867,-0.0141798099486113,-0.2195947502517445,0.0385056154793571,0.5570635110491933,0.025248422501061,-0.1502327005666895,0.5424307295534128,0.048581209826606506,-0.1502761734086956,0.0235134989555778,-0.1929545707908949,-0.1929545707908949,0.032307289409251705,284.6,870.2,536.1,-83.60000000000001,64.8,-434.7,45.6,26.5,-2.6,-4.8,19.0,-22.5,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,20,2.5,-10,1.9981249644581995,2.0,0.0281499999999999,-0.0110803571428571,0.0130047157622739,0.0060666666666666,-0.0405875,0.00745,True,0.0767312098266064,-0.1613130577095466,0.5554354453156867,0.0295801656222444,-0.2335420707908949,0.0397572894092517,-0.2335420707908949
20.0,8.0,3.0,34.0,2.496,-10.0,414.92,101193.0,289.89,683.6,4276.0,2362.5,-391.9,-76.4,-2171.3,0.0,1.2160731113350067,972.3909594001356,39.99038738198461,446306.3469309787,98.42,98.43,6.88,6.75,0.0,21.406,21.947,30.325,30.385,101193.0,1.4782670205155337e-05,1.9996249492965537,1.9994217973155213,5.8498046751061,41.28985933234436,118.92845611132644,-1.009739290275658,-7.416589613684414,14.027813347794028,0.0277013690964369,0.1955254400497548,0.5631779592281009,-0.0034237362310375,-0.2128794685405792,0.0475642903704021,0.5638500368901675,0.0031488901381546,-0.1844450829068977,0.550173243465827,0.0330831594073885,-0.1877446770096469,0.0434985789564655,-0.1800996816466455,-0.1800996816466455,0.0422277130626462,638.0,4249.5,2365.1,-387.1,-95.4,-2148.8,45.6,26.5,-2.6,-4.8,19.0,-22.5,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,40,2.5,-10,1.9996249492965537,2.0,0.0281499999999999,-0.0110803571428571,0.0130047157622739,0.0060666666666666,-0.0405875,0.00745,True,0.0612331594073884,-0.1955254400497548,0.5631779592281009,0.0495652456231321,-0.2206871816466455,0.0496777130626462,-0.2206871816466455
26.0,8.0,9.0,3.0,2.496,-8.0,104.24,101190.0,289.33,328.7,671.0,453.6,-22.7,105.8,-350.6,0.0,1.2183907064735384,243.1803343072557,19.979560682557437,223739.12325650055,49.21,49.21,0.6,0.58,0.0,20.185,19.959,44.909,44.134,101190.0,1.4732428520159189e-05,1.9980615659064236,1.9980615659064236,2.700872105082296,6.304538068544964,29.06200962874485,-1.016482703594064,-1.717570605278078,2.1996451419946084,0.0511418400243831,0.1193783580949441,0.5502980479614616,-0.0137817223898718,-0.1971317552616021,0.0298233296011954,0.5520031693373514,0.0271280377615881,-0.060398000952087,0.5388933321991878,0.0510083874364307,-0.1110990076552229,0.0020811132065836,-0.2022587346772815,-0.2022587346772815,0.0084527842915635,294.0,655.5,456.3,-17.299999999999997,86.9,-336.70000000000005,34.7,15.5,-2.7,-5.4,18.9,-13.9,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,20,2.5,-8,1.9980615659064236,2.0,0.01625,-0.0589803571428571,0.0114047157622739,0.0164666666666666,-0.0092874999999999,0.02215,True,0.0672583874364307,-0.1193783580949441,0.5502980479614616,0.0185477798732502,-0.2115462346772814,0.0306027842915635,-0.2115462346772814
25.0,8.0,8.0,10.0,2.496,-4.0,104.33,101191.0,289.37,249.6,428.2,323.7,74.6,129.6,-246.9,0.0,1.2182343256648152,243.3902837360233,19.98946635397758,223797.30524426769,49.21,49.21,0.56,0.58,0.0,20.549,20.332,44.893,43.941,101191.0,1.4735900733930148e-05,1.9990521853531449,1.9990521853531449,2.32990646140856,3.712117485203861,27.612775519369457,-0.1648759289195914,-1.070392192010539,1.5605708355783914,0.0440794360874635,0.0702294483269843,0.5224053385249141,-0.0022335000883574,-0.1227467880436264,0.021140351547934,0.5238293575557128,0.0212870516485512,-0.0426490911841272,0.5107006227626402,0.0403210194648648,-0.0669835468944885,0.0085568963766782,-0.12988320794628472,-0.12988320794628472,0.007994245137831502,253.6,417.5,329.7,77.6,106.6,-239.1,-4.0,10.7,-6.0,-3.0,23.0,-7.8,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,20,2.5,-4,1.9990521853531449,2.0,0.00855,-0.0275803571428571,0.0117047157622739,0.0080666666666666,-0.0052874999999999,0.01385,True,0.0488710194648648,-0.0702294483269843,0.5224053385249141,0.0166235630433448,-0.1351707079462846,0.0218442451378315,-0.1351707079462846
15.0,7.0,59.0,55.0,2.496,-3.995,415.08,101192.0,289.75,605.0,2336.1,1540.5,210.3,155.2,-1304.0,0.0,1.2166486644737404,972.7688038271756,39.98869424008703,446666.043676063,98.44,98.42,6.41,7.57,0.0,21.335,21.615,30.295,30.305,101192.0,1.4770140458672609e-05,1.9991340422443984,1.999540287731544,5.588414801971608,21.11283129232872,111.21177813921176,0.6874384260027631,-4.17427049379646,8.459759605888756,0.0264532953498403,0.0999396039195734,0.5264315763496248,0.0023300010965375,-0.1197681647070839,0.0286734759253701,0.5270841634519289,0.0035022922489533,-0.0723592467767163,0.5147268605873508,0.0248017515826384,-0.0978537783268335,0.0211539540761023,-0.1219366045230031,-0.1219366045230031,0.016068819906269204,609.0,2325.4,1546.5,213.3,132.2,-1296.2,-4.0,10.7,-6.0,-3.0,23.0,-7.8,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,40,2.5,-4,1.9991340422443984,2.0,0.00855,-0.0275803571428571,0.0117047157622739,0.0080666666666666,-0.0052874999999999,0.01385,True,0.0333517515826384,-0.0999396039195734,0.5264315763496248,0.0292206207427689,-0.127224104523003,0.0299188199062692,-0.127224104523003
1.0,7.0,50.0,35.0,-5.003,0.0,416.15,101202.0,289.04999999999995,-712.5,-304.7,-677.2,-537.7,-44.9,145.1,0.0,1.2197155774698278,975.2956993346116,39.99022680162341,448650.62717508303,123.03,123.03,17.61,17.79,0.0,17.271,17.78,34.089,33.593,101202.0,1.4705369044506352e-05,1.5996285235477827,1.5996285235477827,-6.721431338813684,-3.1663429218524537,-75.4105237120606,-1.0934200877537406,5.995030416326419,-0.988469440303608,-0.0317341038408047,-0.0149493537927588,-0.3560380623616357,-0.0036964317736716,0.1715637470253607,-0.0033416340959565,-0.3519141401326313,-0.0626625340336449,0.011099353792758799,-0.3796880623616357,-0.037634103840804706,0.0149493537927588,-0.0065712325562685,0.1790580983895318,0.1790580983895318,-0.0053163068570774,-731.4,-315.5,-667.6,-528.0,-82.3,151.29999999999998,18.9,10.8,-9.6,-9.7,37.4,-6.2,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,40,-5.0,0,1.5996285235477827,1.6,0.0059,0.00385,0.02365,-0.0015999999999999,0.00145,0.0026999999999999,True,-0.0317341038408047,0.0149493537927588,-0.3560380623616357,-0.0081712325562684,0.1805080983895318,-0.0026163068570775,0.1805080983895318
7.0,7.0,54.0,18.0,-5.0,0.0,415.49,101197.0,289.33,1459.2,52.1,-922.2,-925.5,1613.0,-82.3,0.0,1.218474990839042,973.7370409857692,39.97859556381135,447727.296587814,82.03,82.02,0.83,0.83,0.0,23.481,24.357,30.965,30.78,101197.0,1.4731409448451123e-05,2.398452479684511,2.3987449025666967,13.257633833432498,-0.2696693397625085,-73.4722255451341,-0.4063086231071196,6.469241607603115,0.4903263071331226,0.0626938744929595,-0.0012752362868127,-0.3474419753115519,-0.0013757714861863,0.1854309064635704,0.0016602575331091,-0.3515839848970535,0.0321737419527237,-0.0025747637131873,-0.3710919753115519,0.0567938744929595,0.0012752362868127,1.6103321756399903e-05,0.1663104518429098,0.1663104518429098,-0.0009080145566218,1440.3,41.3,-912.6,-915.8,1575.6,-76.1,18.9,10.8,-9.6,-9.7,37.4,-6.2,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,40,-5.0,0,2.398452479684511,2.4,0.0059,0.00385,0.02365,-0.0015999999999999,0.00145,0.0026999999999999,True,0.0626938744929595,0.0012752362868127,-0.3474419753115519,-0.0015838966782435,0.1677604518429098,0.0017919854433781,0.1677604518429098
21.0,8.0,6.0,9.0,2.496,0.0,104.48,101192.0,289.45,-113.3,-50.8,254.6,245.6,-130.7,25.6,0.0,1.2179096580800357,243.7402011165107,20.006496532749907,223880.23999536084,61.52,61.52,1.82,1.43,0.0,21.349,21.333,38.423,39.307,101192.0,1.474299164301762e-05,1.6004091023428386,1.6004091023428386,-0.9319082618249624,-0.4510785254429526,27.39931818282415,-0.6615314907139259,-0.9836431997653596,-0.1467786235802315,-0.0176054357190671,-0.0085216907170516,0.5176227690795846,-0.0089486044791795,-0.112636946836741,-0.0019854895297582,0.5163649715108269,-0.0401310183411548,0.0100020478599087,0.5048180533173107,-0.025655435719067102,0.0085216907170516,-0.010819899020287,-0.1007873025209408,-0.1007873025209408,-0.0058236800489331,-101.03333333333332,-45.56666666666666,259.76666666666665,247.3333333333333,-151.6,22.5,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,20,2.5,0,1.6004091023428386,1.6,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,-0.0176054357190671,0.0085216907170516,0.5176227690795846,-0.0112532323536203,-0.1076748025209407,-0.0024736800489331,-0.1076748025209407
22.0,8.0,6.0,43.0,2.496,0.0,104.43,101192.0,289.41,402.7,-22.7,167.0,158.0,281.8,12.1,0.0,1.2180779880835713,243.62356175831005,20.000326911601103,223866.1439813953,41.01,41.01,0.2,0.11,0.0,21.186,21.102,34.335,33.595,101192.0,1.4739373210956738e-05,2.40006841422405,2.40006841422405,3.815258420395117,-0.1672607373749526,26.79357289407993,-0.3765608943918384,-0.6325710064314363,-0.0596149826675442,0.072111653242117,-0.0031613712534193,0.5064214857181766,-0.0050962166701485,-0.0724703627598654,-0.0008068040866315,0.5090814621803817,0.0499887646836889,0.0046417283962764,0.4936167699559028,0.064061653242117,0.0031613712534193,-0.005513108854969299,-0.0859077462758578,-0.0859077462758578,-0.0044150040626027,414.9666666666666,-17.466666666666665,172.16666666666666,159.73333333333332,260.90000000000003,9.0,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,20,2.5,0,2.40006841422405,2.4,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.072111653242117,0.0031613712534193,0.5064214857181767,-0.0059464421883026,-0.0927952462758577,-0.0010650040626027,-0.0927952462758577
23.0,8.0,7.0,7.0,2.496,0.0,104.31,101191.0,289.41,493.9,-21.9,150.0,143.4,354.5,10.9,0.0,1.2180659507882503,243.34362824262425,19.988931776445074,223736.3857873665,35.15,35.15,-0.16,-0.09,0.0,21.031,20.886,26.85,26.17,101191.0,1.4739518869890942e-05,2.798598214688046,2.798598214688046,4.654314004575608,-0.1689258464752604,26.642614314089883,-0.3418919219886683,-0.5732011392690834,-0.0520163324197567,0.0880717207641083,-0.0031965161710154,0.5041475254977595,-0.0046323441423646,-0.0657442093673462,-0.00070477696984,0.5075047145505892,0.0660327204709162,0.0046768733138725,0.49134280973548566,0.0800217207641083,0.0031965161710154,-0.005064015965303799,-0.08367998528883101,-0.08367998528883101,-0.0042935159086616,506.1666666666666,-16.666666666666664,155.16666666666666,145.13333333333333,333.6,7.800000000000001,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,20,2.5,0,2.798598214688046,2.8,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.0880717207641083,0.0031965161710154,0.5041475254977595,-0.0054973492986371,-0.0905674852888309,-0.0009435159086616,-0.0905674852888309
24.0,8.0,7.0,32.0,2.496,0.0,104.52,101192.0,289.39,232.4,-28.3,198.6,185.0,143.7,14.5,0.0,1.218162170535493,243.83351276965868,20.00825165955574,223982.337972026,49.21,49.21,0.56,0.54,0.0,20.844,20.649,44.904,43.815,101192.0,1.4737564119370352e-05,2.0009308151026115,2.0009308151026115,2.24850780270859,-0.2276828277309029,26.99276102797617,-0.5098789872201681,-0.77383137595471,-0.0749581612321228,0.0424621308940779,-0.0042996951230488,0.5097470200378204,-0.0068945460190078,-0.0885774922277964,-0.0010135787217525,0.5111126154067658,0.0202225460701507,0.0057800522659059005,0.4969423042755465,0.0344121308940779,0.0042996951230488,-0.0076212626728870995,-0.0936580698610366,-0.0936580698610366,-0.0047133918642211,244.66666666666669,-23.066666666666663,203.76666666666665,186.7333333333333,122.79999999999998,11.4,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,20,2.5,0,2.0009308151026115,2.0,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.0424621308940779,0.0042996951230488,0.5097470200378204,-0.0080545960062204,-0.1005455698610365,-0.0013633918642211,-0.1005455698610365
4.0,7.0,52.0,15.0,2.507,0.0,416.01,101202.0,289.17999999999995,-839.5,-157.4,1112.5,1105.4,-959.7,55.8,0.0,1.2191672579972812,974.9650714676034,39.99243808047264,448317.21003641264,123.03,123.04,17.64,17.93,0.0,20.15,21.793,34.112,33.614,101202.0,1.4717119291721276e-05,1.599716975777331,1.5995869597682464,-7.6203100498676655,-1.7852427811914882,112.4485216320533,-1.9805467648002115,-4.68383258262846,-0.3436620319839879,-0.0359902087690589,-0.0084315808645676,0.5310867593084246,-0.00669773560783,-0.1340857876031317,-0.0011621828222322,0.5290041845169331,-0.0591862636389535,0.0099119380074247,0.5182820435461508,-0.044040208769058904,0.0084315808645676,-0.008581347759656001,-0.1170543404314959,-0.1170543404314959,-0.0049053856460878,-827.2333333333333,-152.16666666666669,1117.6666666666667,1107.1333333333334,-980.6,52.7,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,40,2.5,0,1.599716975777331,1.6,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,-0.0359902087690589,0.0084315808645676,0.5310867593084247,-0.0090146810929893,-0.1239418404314958,-0.0015553856460878,-0.1239418404314958
10.0,7.0,55.0,35.0,2.503,0.0,415.81,101196.0,289.41,1385.5,-105.5,709.6,740.6,833.6,18.3,0.0,1.2181261372648535,974.4927490899582,39.99983251449172,447740.7929164204,82.02,82.01,1.1,0.8,0.0,22.733,22.766,30.455,30.383,101196.0,1.4738790604007414e-05,2.4000191351021867,2.400311784673592,12.849841876790176,-1.4107643979511804,109.44690935532128,-1.029505139611864,-2.989315423938594,-0.1041460719765816,0.0607183487914234,-0.0066661742298979,0.5171608864995387,-0.0034832276780618,-0.0856177029841382,-0.0003523678187823,0.5193191554259788,0.038075125903847,0.008146531372754999,0.5043561707372648,0.052668348791423396,0.0066661742298979,-0.0049082710447519995,-0.0958438498218493,-0.0958438498218493,-0.0039353085671926,1397.7666666666669,-100.26666666666668,714.7666666666667,742.3333333333334,812.7,15.2,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,40,2.5,0,2.4000191351021867,2.4,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.0607183487914234,0.0066661742298979,0.5171608864995387,-0.0053416043780853,-0.1027313498218492,-0.0005853085671926,-0.1027313498218492
11.0,7.0,56.0,5.0,2.503,0.0,415.59,101195.0,289.48,1815.7,-95.1,626.5,672.7,1183.4,9.4,0.0,1.2178195442593014,973.9731987502936,39.994201580787575,447481.0876089892,70.31,70.29,-1.35,-1.37,0.0,22.323,22.209,27.955,28.552,101195.0,1.4745268537566482e-05,2.7993437373512617,2.800140250009492,16.807719264686142,-1.3527964239444386,108.7849042792004,-0.7344969339462756,-2.621960225846349,-0.0471242249300723,0.0794625614479741,-0.0063956725639831,0.5143069684094561,-0.0024864225532374,-0.0751362531413241,-0.0001595251528695,0.5172865517376948,0.056926090834727,0.007876029706840199,0.5015022526471822,0.0714125614479741,0.0063956725639831,-0.0038446697440130003,-0.09064551195490761,-0.09064551195490761,-0.0036962006113609,1827.9666666666667,-89.86666666666666,631.6666666666666,674.4333333333334,1162.5,6.300000000000001,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,40,2.5,0,2.7993437373512617,2.8,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.0794625614479741,0.0063956725639831,0.5143069684094561,-0.0042780030773463,-0.0975330119549075,-0.0003462006113609,-0.0975330119549075
